*  通用时（计算时刻）
*  GPS周，周内秒（计算时刻）
卫星号 POS_X(km) POS_Y(km) POS_Z(km) VEL_X(m/s) VEL_Y(m/s) VEL_Z(m/s) CLK(us) CLK_VEL(us/sec)
注意：卫星号前“B”表示广播星历；卫星位置、钟差等均未经任何改正

BG25 -15583.283771   2605.806414  21043.343646   462.803 -2701.477   695.743      240.336825      0.000003
BG26  -4615.976499  25975.751339    829.360569  -352.353  -169.785  3145.155      155.180883      0.000002
BG29 -25844.167241   2618.135813   5655.340749   649.541  -371.091  3111.487     -440.376582     -0.000005
BG31  -1874.521459  17350.092928  19773.684193 -1964.605 -1633.364  1286.429     -150.068832     -0.000004
BG32 -16389.059669  15763.803661  13687.868465 -1711.096   332.445 -2470.187      -21.808431     -0.000005
BC04 -39671.991004  14340.130795   -532.292085    -0.650     3.580    15.784      158.172410      0.000081
BC06 -10422.283470  23514.055466  33371.175589 -1261.333   193.513  -538.997      485.379978      0.000055
BC07 -15252.493857  39019.408108  -5335.601358   906.308   675.605  2339.486      239.667079     -0.000044
BC09  -1630.999847  24611.530544  34512.380703 -1247.595  -166.581    37.509     -265.648828     -0.000030
BC10  -8955.158832  39540.033714 -12167.334625   757.474   868.652  2194.480       12.228646      0.000003
BC13   5777.522962  36148.105925 -20542.247037   584.882 -1304.530 -2133.145      474.643833      0.000011
BC16 -15681.055288  21952.263426  32474.682152 -1243.241   389.551  -878.506     -723.083460      0.000015
BC25 -12536.870661  10791.248219  22467.427031 -1181.702 -2282.790   439.117     -824.962590      0.000006
BC32   6531.891620  16774.890721  21329.631446 -1387.799  2001.568 -1149.204     -962.216209      0.000003
BC33 -19311.823069  18236.191988  -8577.805097   456.238  -872.851 -2882.990     -973.118072      0.000006
BC39 -20759.399347  21257.899950  29845.237396 -1125.177   679.065 -1273.607       34.026739     -0.000000
BC41  -9244.132202  24784.094736   8916.874010  -656.499   780.018 -2862.544     -916.351052      0.000001
BC59 -32291.116791  27096.901949    617.653566    -1.931     0.159   -14.870        0.744435     -0.000000
BC60   7272.367477  41498.806586  -1659.890667    -2.252     1.423     6.351       -0.301259      0.000000
